time_stamp	sensor_type	NIS	
1477010443000000	lidar	0	
1477010443050000	radar	74.1389	
1477010443100000	lidar	0.349591	
1477010443150000	radar	1.73249	
1477010443200000	lidar	0.127422	
1477010443250000	radar	5.64463	
1477010443300000	lidar	0.16644	
1477010443350000	radar	6.91529	
1477010443400000	lidar	0.00285489	
1477010443450000	radar	0.478551	
1477010443500000	lidar	1.11677	
1477010443550000	radar	1.38615	
1477010443600000	lidar	2.15628	
1477010443650000	radar	4.11829	
1477010443700000	lidar	0.369675	
1477010443750000	radar	2.12379	
1477010443800000	lidar	12.8627	
1477010443850000	radar	2.19248	
1477010443900000	lidar	2.43741	
1477010443950000	radar	1.6259	
1477010444000000	lidar	1.56319	
1477010444050000	radar	3.91634	
1477010444100000	lidar	4.07856	
1477010444150000	radar	0.88696	
1477010444200000	lidar	0.333253	
1477010444250000	radar	3.7731	
1477010444300000	lidar	3.57388	
1477010444350000	radar	3.61801	
1477010444400000	lidar	0.561196	
1477010444450000	radar	2.80075	
1477010444500000	lidar	0.652372	
1477010444550000	radar	6.62871	
1477010444600000	lidar	1.01264	
1477010444650000	radar	6.49304	
1477010444700000	lidar	0.825856	
1477010444750000	radar	4.45637	
1477010444800000	lidar	3.15656	
1477010444850000	radar	4.64734	
1477010444900000	lidar	1.32858	
1477010444950000	radar	4.41844	
1477010445000000	lidar	1.56585	
1477010445050000	radar	1.67254	
1477010445100000	lidar	1.71011	
1477010445150000	radar	1.14594	
1477010445200000	lidar	0.521872	
1477010445250000	radar	1.16682	
1477010445300000	lidar	0.838942	
1477010445350000	radar	0.952225	
1477010445400000	lidar	3.49284	
1477010445450000	radar	3.59358	
1477010445500000	lidar	2.58934	
1477010445550000	radar	10.8837	
1477010445600000	lidar	0.717848	
1477010445650000	radar	0.249439	
1477010445700000	lidar	0.480186	
1477010445750000	radar	1.6046	
1477010445800000	lidar	2.36221	
1477010445850000	radar	3.92201	
1477010445900000	lidar	1.13872	
1477010445950000	radar	2.42164	
1477010446000000	lidar	0.717502	
1477010446050000	radar	0.954216	
1477010446100000	lidar	0.252691	
1477010446150000	radar	1.71603	
1477010446200000	lidar	0.41888	
1477010446250000	radar	0.690403	
1477010446300000	lidar	0.425823	
1477010446350000	radar	4.75415	
1477010446400000	lidar	0.485807	
1477010446450000	radar	1.86263	
1477010446500000	lidar	0.273083	
1477010446550000	radar	3.53954	
1477010446600000	lidar	2.37534	
1477010446650000	radar	1.39984	
1477010446700000	lidar	0.752481	
1477010446750000	radar	0.571298	
