time_stamp	sensor_type	NIS	
1477010443000000	lidar	0	
1477010443100000	lidar	0.728631	
1477010443200000	lidar	4.83324	
1477010443300000	lidar	8.88369	
1477010443400000	lidar	6.71818	
1477010443500000	lidar	1.9169	
1477010443600000	lidar	9.96193	
1477010443700000	lidar	3.32034	
1477010443800000	lidar	5.87984	
1477010443900000	lidar	7.75377	
1477010444000000	lidar	2.62223	
1477010444100000	lidar	0.500691	
1477010444200000	lidar	1.77632	
1477010444300000	lidar	1.89749	
1477010444400000	lidar	1.84712	
1477010444500000	lidar	0.356076	
1477010444600000	lidar	0.801337	
1477010444700000	lidar	0.156888	
1477010444800000	lidar	5.00334	
1477010444900000	lidar	0.755251	
1477010445000000	lidar	0.625028	
1477010445100000	lidar	2.47843	
1477010445200000	lidar	0.378226	
1477010445300000	lidar	0.409093	
1477010445400000	lidar	3.06824	
1477010445500000	lidar	1.7803	
1477010445600000	lidar	1.1031	
1477010445700000	lidar	0.937021	
1477010445800000	lidar	1.96981	
1477010445900000	lidar	1.58079	
1477010446000000	lidar	1.30826	
1477010446100000	lidar	0.35153	
1477010446200000	lidar	0.559773	
1477010446300000	lidar	0.300013	
1477010446400000	lidar	0.784817	
1477010446500000	lidar	0.340256	
1477010446600000	lidar	2.06385	
1477010446700000	lidar	0.0882608	
1477010446800000	lidar	1.31924	
1477010446900000	lidar	3.03968	
1477010447000000	lidar	2.61089	
1477010447100000	lidar	2.77062	
1477010447200000	lidar	3.65565	
1477010447300000	lidar	6.94192	
1477010447400000	lidar	2.9734	
1477010447500000	lidar	0.470195	
1477010447600000	lidar	0.375946	
1477010447700000	lidar	1.85173	
1477010447800000	lidar	0.714857	
1477010447900000	lidar	1.21369	
1477010448000000	lidar	0.461317	
1477010448100000	lidar	2.3649	
1477010448200000	lidar	0.0124286	
1477010448300000	lidar	4.08194	
1477010448400000	lidar	0.103782	
1477010448500000	lidar	0.205369	
1477010448600000	lidar	1.89929	
1477010448700000	lidar	2.02022	
1477010448800000	lidar	2.61152	
1477010448900000	lidar	0.554791	
1477010449000000	lidar	2.10777	
1477010449100000	lidar	0.020862	
1477010449200000	lidar	1.0647	
1477010449300000	lidar	2.33165	
1477010449400000	lidar	2.64949	
1477010449500000	lidar	1.99732	
1477010449600000	lidar	0.27069	
1477010449700000	lidar	1.01478	
1477010449800000	lidar	0.981784	
1477010449900000	lidar	1.45349	
1477010450000000	lidar	1.06804	
1477010450100000	lidar	1.18048	
1477010450200000	lidar	1.56978	
1477010450300000	lidar	0.0775352	
1477010450400000	lidar	1.97803	
1477010450500000	lidar	2.66609	
1477010450600000	lidar	0.451876	
1477010450700000	lidar	1.31135	
1477010450800000	lidar	0.105451	
1477010450900000	lidar	2.41701	
1477010451000000	lidar	0.432362	
1477010451100000	lidar	0.624427	
1477010451200000	lidar	2.91756	
1477010451300000	lidar	0.962693	
1477010451400000	lidar	0.765044	
1477010451500000	lidar	2.3959	
1477010451600000	lidar	2.77453	
1477010451700000	lidar	0.150184	
1477010451800000	lidar	3.71555	
1477010451900000	lidar	0.873667	
1477010452000000	lidar	0.414358	
1477010452100000	lidar	0.920942	
1477010452200000	lidar	0.88081	
1477010452300000	lidar	0.598506	
1477010452400000	lidar	1.25895	
1477010452500000	lidar	0.605036	
1477010452600000	lidar	2.34505	
1477010452700000	lidar	1.94768	
1477010452800000	lidar	1.0839	
1477010452900000	lidar	3.80078	
1477010453000000	lidar	0.676066	
1477010453100000	lidar	0.0307693	
1477010453200000	lidar	3.88564	
1477010453300000	lidar	1.78022	
1477010453400000	lidar	1.59145	
1477010453500000	lidar	3.52912	
1477010453600000	lidar	0.154627	
1477010453700000	lidar	1.27426	
1477010453800000	lidar	3.2894	
1477010453900000	lidar	1.87155	
1477010454000000	lidar	2.50909	
1477010454100000	lidar	0.917708	
