time_stamp	sensor_type	NIS	
1477010443050000	radar	0	
1477010443150000	radar	25.5898	
1477010443250000	radar	0.793001	
1477010443350000	radar	0.527047	
1477010443450000	radar	4.05926	
1477010443550000	radar	4.54629	
1477010443650000	radar	3.94093	
1477010443750000	radar	0.907166	
1477010443850000	radar	2.34575	
1477010443950000	radar	1.14408	
1477010444050000	radar	2.859	
1477010444150000	radar	1.85753	
1477010444250000	radar	3.53435	
1477010444350000	radar	4.39726	
1477010444450000	radar	3.15817	
1477010444550000	radar	4.91793	
1477010444650000	radar	5.66357	
1477010444750000	radar	2.02322	
1477010444850000	radar	2.83726	
1477010444950000	radar	3.61307	
1477010445050000	radar	2.63519	
1477010445150000	radar	2.88974	
1477010445250000	radar	0.599381	
1477010445350000	radar	2.50957	
1477010445450000	radar	1.83026	
1477010445550000	radar	12.007	
1477010445650000	radar	1.01779	
1477010445750000	radar	1.73294	
1477010445850000	radar	2.10558	
1477010445950000	radar	1.08077	
1477010446050000	radar	2.28227	
1477010446150000	radar	1.87295	
1477010446250000	radar	0.320306	
1477010446350000	radar	5.71459	
1477010446450000	radar	2.47615	
1477010446550000	radar	3.92473	
1477010446650000	radar	1.41585	
1477010446750000	radar	0.411468	
1477010446850000	radar	0.118374	
1477010446950000	radar	0.6463	
1477010447050000	radar	3.48558	
1477010447150000	radar	0.933981	
1477010447250000	radar	2.82915	
1477010447350000	radar	1.13102	
1477010447450000	radar	0.204319	
1477010447550000	radar	0.911217	
1477010447650000	radar	4.88524	
1477010447750000	radar	1.01496	
1477010447850000	radar	2.39672	
1477010447950000	radar	5.42973	
1477010448050000	radar	4.55864	
1477010448150000	radar	2.29736	
1477010448250000	radar	5.94931	
1477010448350000	radar	0.358703	
1477010448450000	radar	1.98584	
1477010448550000	radar	0.282197	
1477010448650000	radar	3.00824	
1477010448750000	radar	10.2924	
1477010448850000	radar	2.0277	
1477010448950000	radar	1.05881	
1477010449050000	radar	1.04273	
1477010449150000	radar	8.63913	
1477010449250000	radar	5.73253	
1477010449350000	radar	1.15732	
1477010449450000	radar	1.92185	
1477010449550000	radar	7.57401	
1477010449650000	radar	1.16532	
1477010449750000	radar	3.86691	
1477010449850000	radar	3.64837	
1477010449950000	radar	9.58183	
1477010450050000	radar	2.56827	
1477010450150000	radar	7.76709	
1477010450250000	radar	1.30566	
1477010450350000	radar	1.69392	
1477010450450000	radar	0.515339	
1477010450550000	radar	1.92105	
1477010450650000	radar	1.92846	
1477010450750000	radar	3.52235	
1477010450850000	radar	0.933571	
1477010450950000	radar	1.01346	
1477010451050000	radar	3.78806	
1477010451150000	radar	5.52997	
1477010451250000	radar	1.56698	
1477010451350000	radar	2.69611	
1477010451450000	radar	2.10372	
1477010451550000	radar	4.12048	
1477010451650000	radar	0.116138	
1477010451750000	radar	3.36849	
1477010451850000	radar	0.478399	
1477010451950000	radar	0.530819	
1477010452050000	radar	2.47547	
1477010452150000	radar	2.86685	
1477010452250000	radar	0.615246	
1477010452350000	radar	4.2448	
1477010452450000	radar	3.08933	
1477010452550000	radar	1.09594	
1477010452650000	radar	8.17892	
1477010452750000	radar	2.64872	
1477010452850000	radar	3.59939	
1477010452950000	radar	1.38246	
1477010453050000	radar	3.08952	
1477010453150000	radar	5.83769	
1477010453250000	radar	1.34276	
1477010453350000	radar	1.45088	
1477010453450000	radar	2.03955	
1477010453550000	radar	2.11082	
1477010453650000	radar	1.69489	
1477010453750000	radar	4.44911	
1477010453850000	radar	1.65955	
1477010453950000	radar	1.16665	
1477010454050000	radar	2.99627	
1477010454150000	radar	2.61658	
1477010454250000	radar	1.07506	
1477010454350000	radar	3.30885	
1477010454450000	radar	0.919932	
1477010454550000	radar	1.25483	
1477010454650000	radar	0.960882	
1477010454750000	radar	2.29275	
1477010454850000	radar	1.84081	
1477010454950000	radar	2.69986	
1477010455050000	radar	5.39185	
1477010455150000	radar	5.23107	
1477010455250000	radar	1.2546	
1477010455350000	radar	5.20004	
1477010455450000	radar	2.22817	
1477010455550000	radar	2.52869	
1477010455650000	radar	0.410391	
1477010455750000	radar	3.24801	
1477010455850000	radar	0.683384	
1477010455950000	radar	3.05971	
1477010456050000	radar	1.73712	
1477010456150000	radar	0.753105	
1477010456250000	radar	4.19235	
1477010456350000	radar	1.57138	
1477010456450000	radar	0.580433	
1477010456550000	radar	7.57538	
1477010456650000	radar	4.78737	
1477010456750000	radar	2.45501	
1477010456850000	radar	6.47052	
1477010456950000	radar	4.14975	
1477010457050000	radar	4.62155	
1477010457150000	radar	2.18329	
1477010457250000	radar	0.669125	
1477010457350000	radar	0.444895	
1477010457450000	radar	3.43552	
1477010457550000	radar	1.26103	
1477010457650000	radar	0.0514722	
1477010457750000	radar	2.17979	
1477010457850000	radar	4.98426	
1477010457950000	radar	0.237276	
1477010458050000	radar	7.25816	
1477010458150000	radar	0.792811	
1477010458250000	radar	5.90353	
1477010458350000	radar	1.44051	
1477010458450000	radar	1.85918	
1477010458550000	radar	0.920223	
1477010458650000	radar	1.59284	
1477010458750000	radar	2.24647	
1477010458850000	radar	2.01392	
1477010458950000	radar	2.63632	
1477010459050000	radar	2.16476	
1477010459150000	radar	4.71371	
1477010459250000	radar	2.20917	
1477010459350000	radar	0.535597	
